Date,Close/Last,Volume,Open,High,Low,Day
5/22/2020,93.75,4049578,94.42,94.65,93.35,64
5/26/2020,96.62,7185192,95.98,97.43,95.28,65
5/27/2020,99.87,7915885,98.12,99.99,97.62,66
5/28/2020,98.46,7262328,100.09,100.69,98.25,67
5/29/2020,98.58,10333350,98.19,99.25,96.93,68
6/1/2020,99.54,4299739,98.40,99.78,97.89,69
6/2/2020,100.74,10798730,99.42,100.88,98.82,70
6/3/2020,104.11,5867680,101.26,104.55,101.12,71
6/4/2020,101.28,8775038,103.66,103.90,100.47,72
6/5/2020,102.71,8363601,104.00,104.69,102.13,73
6/8/2020,104.29,6165363,103.05,104.30,102.71,74
6/9/2020,102.63,5385911,102.82,103.77,102.43,75
6/10/2020,102.12,5194156,103.00,103.15,101.71,76
6/11/2020,95.17,10976920,98.38,98.99,94.88,77
6/12/2020,96.43,7416393,97.80,97.80,94.74,78
6/15/2020,97.84,8647885,93.90,98.08,93.44,79
6/16/2020,99.04,6056391,101.25,101.34,97.72,80
6/17/2020,99.21,3405545,99.00,100.24,98.89,81
6/18/2020,98.45,4392371,98.69,99.42,97.85,82
6/19/2020,95.78,10302900,99.97,99.98,95.78,83
6/22/2020,99.51,6918184,96.85,99.54,96.02,84
6/23/2020,101.92,6498975,101.15,102.22,100.71,85
6/24/2020,100.08,8611585,100.94,101.85,98.09,86
6/25/2020,101.40,11531400,99.23,101.68,98.80,87
6/26/2020,93.67,24918520,98.50,98.78,93.57,88
6/29/2020,95.87,9624172,93.70,96.00,93.70,89
6/30/2020,98.05,9065532,96.00,98.30,95.64,90
7/1/2020,97.40,5733768,98.50,98.72,97.11,91
7/2/2020,98.43,5355296,98.78,99.66,98.02,92
7/6/2020,99.95,4995015,99.62,100.03,99.04,93
7/7/2020,97.07,6352887,99.22,99.55,96.92,94
7/8/2020,98.84,5634590,97.50,98.98,96.96,95
7/9/2020,96.99,6282261,98.55,98.91,96.37,96
7/10/2020,97.99,3967111,97.00,98.05,95.72,97
7/13/2020,96.46,4845621,98.25,98.94,96.26,98
7/14/2020,96.76,4850623,96.33,97.25,95.51,99
7/15/2020,98.54,5343651,98.41,99.04,97.31,100
7/16/2020,97.26,3595025,97.50,98.23,97.04,101
7/17/2020,96.28,7406714,96.95,97.23,96.04,102
7/20/2020,95.65,5822281,95.50,96.35,95.11,103
7/21/2020,98.36,5857099,96.92,99.00,96.10,104
7/22/2020,98.91,4097303,98.16,98.99,97.91,105
7/23/2020,98.30,4530464,98.35,100.18,97.72,106
7/24/2020,98.43,5638435,98.14,99.36,97.70,107
7/27/2020,97.21,4273442,96.96,98.40,96.89,108
7/28/2020,96.27,3822584,96.95,97.47,96.16,109
7/29/2020,96.97,6872745,96.43,97.55,96.30,110
7/30/2020,96.82,4018367,96.47,97.23,95.80,111
7/31/2020,97.61,5510394,96.89,97.65,96.30,112
8/3/2020,98.33,5474074,98.03,99.29,97.82,113
8/4/2020,97.33,7539319,97.79,97.95,96.55,114
8/5/2020,100.94,7227111,97.12,101.25,97.08,115
8/6/2020,100.45,4061160,100.64,101.18,100.03,116
8/7/2020,101.86,5545605,101.00,101.91,99.89,117
8/10/2020,105.41,12677960,102.47,106.83,102.40,118
8/11/2020,105.12,5400716,106.85,107.33,104.86,119
8/12/2020,105.22,4715042,105.72,105.89,103.38,120
8/13/2020,106.52,4281727,105.30,106.99,105.20,121
8/14/2020,106.43,2985847,106.12,106.78,105.46,122
8/17/2020,105.66,3017135,106.50,106.50,105.12,123
8/18/2020,106.97,5023006,106.46,107.00,105.47,124
8/19/2020,108.39,9508077,107.69,109.69,107.35,125
8/20/2020,108.01,4304290,107.56,108.74,107.35,126
8/21/2020,109.75,5563994,108.00,109.77,107.75,127
8/24/2020,111.83,8173259,110.00,112.00,109.90,128
8/25/2020,111.51,4380921,112.00,112.28,111.09,129
8/26/2020,111.53,4477854,111.92,112.09,111.29,130
8/27/2020,110.84,4391019,111.99,112.79,110.50,131
8/28/2020,112.29,3731407,111.01,112.67,110.57,132
8/31/2020,111.89,3519833,112.14,112.52,111.14,133
9/1/2020,114.84,4913969,112.00,114.90,111.83,134
9/2/2020,116.80,6775355,115.06,117.41,114.50,135
9/3/2020,112.85,7264372,116.80,116.90,112.00,136
9/4/2020,112.40,5157736,112.96,113.75,110.21,137
9/8/2020,112.72,5300108,111.29,113.84,110.54,138
9/9/2020,114.90,5997890,113.02,116.21,112.83,139
9/10/2020,114.79,5033067,115.90,118.23,114.00,140
9/11/2020,118.00,8565234,116.76,119.25,116.42,141
9/14/2020,119.28,4990315,118.50,119.93,118.17,142
9/15/2020,119.27,5934181,119.70,120.48,119.18,143
9/16/2020,118.59,7027588,118.31,119.69,118.16,144
9/17/2020,116.36,7376390,117.34,118.55,115.80,145
9/18/2020,114.66,12876570,115.43,117.91,114.49,146
9/21/2020,113.37,8486367,112.95,114.06,111.74,147
9/22/2020,116.87,13007210,113.10,117.20,112.85,148
9/23/2020,127.11,37822650,130.22,130.38,125.26,149
9/24/2020,124.75,13485770,126.44,127.54,123.30,150
9/25/2020,124.23,9182784,123.65,124.75,122.27,151
9/28/2020,124.32,7524978,125.16,126.19,123.89,152
9/29/2020,126.35,7799668,124.34,127.10,123.96,153
9/30/2020,125.54,8699679,126.10,127.28,125.16,154
10/1/2020,126.64,5637175,127.73,127.73,125.31,155
10/2/2020,126.64,7491067,124.35,126.80,123.59,156
10/5/2020,127.91,8270269,127.07,128.50,126.45,157
10/6/2020,127.65,5978001,128.84,130.44,127.27,158
10/7/2020,130.06,4390483,128.40,130.41,128.25,159
10/8/2020,129.71,3595578,130.40,130.93,129.51,160
10/9/2020,130.98,4293374,129.99,131.19,129.33,161
10/12/2020,129.46,5136511,131.19,131.34,129.26,162
10/13/2020,129.20,4245130,128.05,129.87,127.96,163
10/14/2020,127.66,3587295,129.53,129.60,127.01,164
10/15/2020,129.00,4236054,126.48,129.10,126.11,165
10/16/2020,128.00,6011173,129.51,130.19,127.55,166
10/19/2020,127.43,5160899,129.10,129.78,127.05,167
10/20/2020,128.49,3800038,128.00,129.90,127.72,168
10/21/2020,129.43,4916342,128.50,131.38,128.45,169
10/22/2020,130.02,2870984,129.60,130.26,128.86,170
10/23/2020,129.99,4046580,130.00,130.60,128.65,171
10/26/2020,128.37,5422455,129.06,129.62,126.68,172
10/27/2020,127.99,2985686,128.78,129.49,127.90,173
10/28/2020,122.08,8618312,125.28,126.40,121.04,174
10/29/2020,122.86,4947049,122.28,124.19,121.15,175
10/30/2020,120.08,7792405,123.66,123.66,118.80,176
11/2/2020,122.39,4740373,122.37,124.10,121.10,177
11/3/2020,124.59,3490891,124.01,125.50,123.19,178
11/4/2020,127.34,5061798,125.33,128.93,125.26,179
11/5/2020,129.70,3940003,129.19,130.41,128.46,180
11/6/2020,128.90,2954049,129.91,129.91,128.35,181
11/9/2020,128.95,7491728,135.06,136.35,128.77,182
11/10/2020,127.71,8014744,130.05,130.12,126.25,183
11/11/2020,127.66,6058668,128.69,129.80,127.18,184
11/12/2020,126.64,4797416,126.62,127.84,125.63,185
11/13/2020,128.28,3986719,127.91,128.60,126.83,186
11/16/2020,130.11,6116435,129.46,130.32,127.37,187
11/17/2020,132.21,7002945,130.48,132.60,129.11,188
11/18/2020,131.63,5573008,133.07,133.98,131.53,189
11/19/2020,131.91,4642765,131.92,132.11,129.93,190
11/20/2020,132.98,4320046,133.30,133.53,131.91,191
11/23/2020,134.13,6119342,134.38,134.89,133.09,192
11/24/2020,134.70,7205789,135.00,135.99,134.21,193
11/25/2020,135.54,4484836,134.25,135.80,133.62,194
11/27/2020,134.25,3506832,136.00,136.13,133.34,195
11/30/2020,134.70,9652509,133.91,135.29,132.69,196
12/1/2020,135.44,3834460,136.44,136.50,134.75,197
12/2/2020,135.58,4132965,135.16,136.32,134.67,198
12/3/2020,136.96,4930860,135.10,137.95,135.00,199
12/4/2020,137.19,4344036,137.08,137.40,135.64,200
12/7/2020,138.75,4590776,137.00,138.86,136.80,201
12/8/2020,139.12,6953582,138.24,140.44,137.65,202
12/9/2020,138.79,4341305,140.57,140.57,138.27,203
12/10/2020,137.58,4511003,138.28,139.14,137.24,204
12/11/2020,137.41,4172439,137.39,138.14,136.23,205
12/14/2020,136.28,7598952,138.92,139.00,136.20,206
12/15/2020,139.39,7642595,137.43,139.44,137.25,207
12/16/2020,138.34,6573449,139.07,140.49,137.46,208
12/17/2020,140.50,8726997,139.92,140.74,138.75,209
12/18/2020,137.28,17970790,141.09,141.14,137.17,210
12/21/2020,144.02,16111270,144.82,147.95,142.51,211
12/22/2020,142.45,6341604,143.05,143.47,141.09,212
12/23/2020,141.76,3388279,142.56,143.60,141.70,213
12/24/2020,141.60,1821900,141.10,142.19,141.10,214
12/28/2020,142.43,4081534,142.54,142.92,141.04,215
12/29/2020,141.57,3232430,142.83,143.06,140.43,216
12/30/2020,141.58,3052122,142.16,142.61,140.66,217
12/31/2020,141.47,2949915,141.70,141.79,140.37,218
1/4/2021,140.10,6178517,142.85,142.97,138.32,219
1/5/2021,141.23,4163149,138.60,141.66,138.60,220
1/6/2021,142.35,6072939,141.25,143.57,139.53,221
1/7/2021,144.95,5256940,143.20,145.64,143.00,222
1/8/2021,146.35,3950741,145.55,146.82,144.90,223
1/11/2021,147.05,4254143,146.00,147.10,144.80,224
1/12/2021,145.05,3678834,146.50,146.85,144.38,225
1/13/2021,143.04,3330127,144.83,145.13,142.43,226
1/14/2021,141.30,4104024,143.66,144.90,140.93,227
1/15/2021,140.72,6412351,140.56,142.38,139.88,228
1/19/2021,139.27,6537800,140.99,141.22,138.41,229
1/20/2021,142.80,4654404,140.38,143.21,140.01,230
1/21/2021,141.61,4013667,142.41,143.81,141.13,231
1/22/2021,139.35,4150453,141.09,141.88,139.31,232
1/25/2021,137.55,5998739,138.99,139.18,134.74,233
1/26/2021,135.10,5312341,137.76,137.85,134.71,234
1/27/2021,131.02,7815862,132.22,132.86,130.27,235
1/28/2021,134.72,6244598,132.36,136.37,131.50,236
1/29/2021,133.59,7166051,133.95,135.03,132.15,237
2/1/2021,135.71,4366833,135.37,136.05,133.30,238
2/2/2021,139.59,7132823,137.06,139.86,136.75,239
2/3/2021,138.63,4678553,139.70,140.06,138.01,240
2/4/2021,140.63,4533707,139.55,141.05,138.92,241
2/5/2021,145.11,6151478,141.34,145.57,141.29,242
2/8/2021,143.41,6304300,145.15,145.88,142.80,243
2/9/2021,141.79,3436347,143.60,144.22,141.70,244
2/10/2021,142.46,4125714,142.45,142.60,140.90,245
2/11/2021,143.54,3828731,143.00,144.35,142.41,246
2/12/2021,142.12,3636966,143.11,143.45,141.40,247
2/16/2021,141.71,4873364,143.37,143.37,141.03,248
2/17/2021,143.99,6438432,141.30,144.56,140.21,249
2/18/2021,145.09,4487139,142.98,145.39,141.21,250
2/19/2021,142.02,7485950,145.43,145.50,141.50,251
2/22/2021,136.67,8985889,141.54,142.46,136.26,252
2/23/2021,136.13,10364140,136.03,136.83,131.58,253
2/24/2021,135.65,6360911,135.06,135.96,133.95,254
2/25/2021,135.54,5674302,137.60,139.18,134.53,255
2/26/2021,134.78,6650210,135.90,136.85,133.36,256
3/1/2021,137.65,5717793,135.64,139.15,135.50,257
3/2/2021,137.02,5292900,137.56,138.26,135.61,258
3/3/2021,134.26,4888379,137.09,137.41,134.15,259
3/4/2021,132.04,7181486,134.00,135.13,130.18,260
3/5/2021,133.35,5957148,133.54,133.68,129.19,261
3/8/2021,134.56,4983035,133.64,135.63,132.37,262
3/9/2021,135.95,5977764,135.51,138.00,135.45,263
3/10/2021,137.59,4519576,136.50,138.20,136.10,264
3/11/2021,141.19,5696538,139.18,142.20,138.56,265
3/12/2021,140.45,4143150,140.00,140.91,138.60,266
3/15/2021,144.94,5417218,140.70,145.00,140.67,267
3/16/2021,144.65,5622963,145.88,146.15,143.84,268
3/17/2021,144.82,5134378,143.20,146.15,143.20,269
3/18/2021,143.17,10279420,144.37,146.66,142.55,270
3/19/2021,137.49,24980360,140.00,142.86,135.51,271
3/22/2021,138.27,7537298,137.63,138.81,136.03,272
3/23/2021,137.12,5582625,138.49,140.64,136.55,273
3/24/2021,133.16,8157637,136.45,137.92,132.88,274
3/25/2021,128.64,18475800,127.05,129.39,125.44,275
3/26/2021,132.99,10010470,131.60,133.19,129.77,276
3/29/2021,133.49,7153914,132.94,133.91,130.66,277
3/30/2021,132.95,6026601,132.35,133.35,131.22,278
3/31/2021,132.89,6878936,133.09,134.18,131.92,279
4/1/2021,132.53,5720557,134.69,134.69,132.21,280
4/5/2021,135.12,5508931,133.10,135.68,133.10,281
4/6/2021,137.16,4670099,135.44,137.71,134.93,282
4/7/2021,136.54,6646002,136.99,138.24,136.36,283
4/8/2021,133.68,8748392,137.28,137.31,133.41,284
4/9/2021,135.45,6056769,133.94,135.50,133.50,285
4/12/2021,136.64,5638234,134.75,136.90,134.22,286
4/13/2021,133.54,8778164,135.60,135.99,133.40,287
4/14/2021,132.26,7354084,133.54,134.18,131.82,288
4/15/2021,133.67,6285030,133.00,134.07,132.68,289
4/16/2021,134.31,6852498,134.71,134.77,133.73,290
4/19/2021,132.57,5613592,134.30,134.38,132.15,291
4/20/2021,127.11,13268680,129.17,129.90,125.70,292
4/21/2021,129.90,7110855,127.59,130.33,127.37,293
4/22/2021,129.18,6442917,129.89,130.37,127.98,294
4/23/2021,130.19,7489517,128.93,130.65,128.46,295
4/26/2021,131.60,8217807,130.49,131.70,129.32,296
4/27/2021,132.11,5833092,132.00,132.79,131.41,297
4/28/2021,130.71,8195648,132.26,132.33,130.35,298
4/29/2021,133.26,6612461,131.77,134.12,131.23,299
4/30/2021,132.62,5643809,132.44,133.88,132.05,300
5/3/2021,133.03,5052987,133.37,134.45,132.59,301
5/4/2021,131.55,6129539,132.23,132.59,130.48,302
5/5/2021,132.21,4218037,132.70,134.22,132.08,303
5/6/2021,133.49,5200987,132.60,133.84,131.94,304
5/7/2021,137.81,10566670,135.00,139.36,134.72,305
5/10/2021,136.40,5669327,138.00,138.90,136.30,306
5/11/2021,137.12,8045369,138.38,138.38,135.01,307
5/12/2021,133.39,5865117,135.42,136.82,133.34,308
5/13/2021,133.61,6284732,133.70,135.03,132.49,309
5/14/2021,135.93,4367939,134.34,136.68,134.05,310
5/17/2021,136.41,3933093,136.33,137.07,135.50,311
5/18/2021,135.56,5664910,136.44,137.47,135.45,312
5/19/2021,132.96,5582288,133.48,133.97,131.96,313
5/20/2021,133.27,4934804,133.78,134.21,132.19,314
5/21/2021,132.66,5329741,133.83,134.17,132.41,315
5/24/2021,134.06,4313241,133.10,134.35,132.81,316
5/25/2021,134.32,4885772,134.94,135.17,133.85,317
5/26/2021,136.89,6781520,135.20,137.92,135.00,318
5/27/2021,136.56,12882610,137.55,138.31,136.46,319
5/28/2021,136.46,4154634,136.24,137.36,136.09,320
6/1/2021,134.51,5577919,137.85,138.05,134.21,321
6/2/2021,134.17,5226155,134.59,135.49,133.53,322
6/3/2021,134.17,5027442,133.20,134.69,132.51,323
6/4/2021,133.74,5217054,134.50,134.94,132.28,324
6/7/2021,133.95,3764986,134.00,135.20,133.45,325
6/8/2021,133.35,4915234,134.69,134.72,132.41,326
6/9/2021,131.84,6448442,133.62,134.90,131.45,327
6/10/2021,130.98,6584125,131.50,132.57,130.19,328
6/11/2021,131.94,5414527,131.50,131.99,130.53,329
6/14/2021,131.36,5743631,131.70,132.05,130.13,330
6/15/2021,130.29,5168054,131.54,131.75,129.83,331
6/16/2021,130.40,7915479,130.30,131.17,129.60,332
6/17/2021,128.92,8568107,129.24,129.88,127.86,333
6/18/2021,128.41,9784780,126.68,129.03,126.68,334
6/21/2021,130.08,6288511,129.24,130.77,128.70,335
6/22/2021,132.48,6043753,130.83,132.69,130.13,336
6/23/2021,133.10,4565993,132.81,133.70,132.21,337
6/24/2021,133.60,11420510,133.90,134.82,132.90,338
6/25/2021,154.35,46285440,152.41,154.59,150.48,339
6/28/2021,152.36,13133260,153.92,154.05,151.51,340
6/29/2021,155.95,10279900,153.26,156.40,152.91,341
6/30/2021,154.49,10281800,154.79,155.34,153.52,342
7/1/2021,158.00,9011480,154.07,158.21,153.89,343
7/2/2021,159.74,6397392,158.21,159.97,157.64,344
7/6/2021,160.11,6670979,159.92,160.44,157.86,345
7/7/2021,160.16,5408252,160.16,161.50,158.28,346
7/8/2021,160.63,6081641,158.17,160.82,157.35,347
7/9/2021,161.00,5002326,161.69,161.96,160.51,348
7/12/2021,161.82,4992241,161.64,162.43,160.71,349
7/13/2021,161.59,5747737,161.35,162.31,161.01,350
7/14/2021,161.54,4928009,161.87,162.73,161.34,351
7/15/2021,161.69,6432687,160.86,162.20,160.39,352
7/16/2021,159.85,6603680,161.62,161.70,159.64,353
7/19/2021,157.87,7377137,158.15,158.82,156.60,354
7/20/2021,159.74,4629228,157.26,160.43,156.58,355
7/21/2021,161.08,5393267,160.50,161.43,160.01,356
7/22/2021,163.68,4851541,161.11,163.75,160.93,357
7/23/2021,166.36,4217669,164.35,166.45,163.73,358
7/26/2021,165.09,3858810,165.71,166.53,163.82,359
7/27/2021,164.57,4358969,164.82,165.61,162.58,360
7/28/2021,165.46,4093570,164.49,165.90,164.08,361
7/29/2021,166.99,3605614,165.90,167.03,165.39,362
7/30/2021,167.51,5364522,166.59,167.87,166.35,363
8/2/2021,168.75,5532475,169.06,169.98,168.03,364
8/3/2021,171.23,5718127,169.22,171.50,168.49,365
8/4/2021,171.91,4646201,171.36,172.34,170.96,366
8/5/2021,173.85,3823951,171.41,174.00,171.18,367
8/6/2021,172.80,4088665,174.36,174.38,172.70,368
8/9/2021,171.77,3612846,172.50,173.06,171.62,369
8/10/2021,172.27,3747136,171.56,173.96,171.43,370
8/11/2021,171.27,4078286,172.00,173.22,170.94,371
8/12/2021,170.64,3997622,170.89,171.32,169.48,372
8/13/2021,171.69,2966195,170.45,171.72,168.78,373
8/16/2021,172.36,3530689,170.70,172.40,169.66,374
8/17/2021,170.66,3602883,171.54,171.70,169.38,375
8/18/2021,168.81,5487423,169.75,171.80,168.66,376
8/19/2021,165.59,7336494,166.96,167.54,164.37,377
8/20/2021,167.79,4039236,166.27,168.01,165.42,378
8/23/2021,169.72,3796644,169.45,170.90,169.18,379
8/24/2021,169.98,3133113,169.60,170.87,168.89,380
8/25/2021,169.84,3003829,170.00,170.69,169.53,381
8/26/2021,166.92,4069624,169.38,169.52,166.27,382
8/27/2021,167.58,3012424,167.27,168.07,166.28,383
8/30/2021,168.03,3537067,167.89,168.41,166.57,384
8/31/2021,164.74,7545629,167.55,167.68,164.20,385
9/1/2021,164.56,4706527,164.92,166.62,164.08,386
9/2/2021,163.67,4632856,165.24,165.43,162.79,387
9/3/2021,163.29,4254656,163.20,164.17,162.22,388
9/7/2021,162.64,5649012,163.70,163.86,161.91,389
9/8/2021,160.71,6591715,162.00,162.09,159.75,390
9/9/2021,163.34,8414827,165.26,166.15,163.20,391
9/10/2021,163.59,4252054,164.25,165.66,163.44,392
9/13/2021,159.52,8814461,161.56,162.92,158.33,393
9/14/2021,158.76,5323906,159.17,159.39,157.07,394
9/15/2021,157.91,6827120,157.50,158.32,155.67,395
9/16/2021,157.60,5085953,157.59,159.01,157.20,396
9/17/2021,156.42,7947833,157.96,161.00,156.07,397
9/20/2021,154.25,7041151,153.73,155.27,152.32,398
9/21/2021,155.02,5857946,155.09,156.13,153.58,399
9/22/2021,157.44,6844752,156.79,158.00,155.60,400
9/23/2021,159.58,11981520,158.71,160.29,158.27,401
9/24/2021,149.59,26913310,151.04,151.85,148.00,402
9/27/2021,148.04,11479260,149.51,149.91,147.29,403
9/28/2021,145.30,10692290,147.34,147.53,145.00,404
9/29/2021,146.02,7794925,145.71,147.94,145.69,405
9/30/2021,145.23,10135900,145.88,147.48,144.42,406
10/1/2021,147.06,8112276,145.22,148.00,144.37,407
10/4/2021,147.14,7950980,147.06,147.62,145.76,408
10/5/2021,149.46,10881850,148.00,151.00,147.82,409
10/6/2021,148.80,7610726,148.00,149.46,147.51,410
10/7/2021,151.85,7958039,150.30,153.66,150.26,411
10/8/2021,152.48,6333747,152.22,152.87,150.67,412
10/11/2021,150.28,5551181,151.99,153.59,150.06,413
10/12/2021,153.35,7408556,152.42,153.60,151.30,414
10/13/2021,156.30,8457480,154.32,156.67,153.16,415
10/14/2021,157.14,6025600,158.18,158.46,156.25,416
10/15/2021,158.01,5532311,157.80,158.33,156.56,417
10/18/2021,159.43,5765540,157.31,159.47,155.95,418
10/19/2021,157.82,6198206,159.68,159.93,156.80,419
10/20/2021,158.45,4486964,158.50,158.80,157.33,420
10/21/2021,162.18,6121675,158.45,162.34,158.28,421
10/22/2021,163.48,5323021,162.28,164.62,162.28,422
10/25/2021,164.22,3878246,163.23,164.73,162.66,423
10/26/2021,163.79,4711228,164.82,165.45,163.12,424
10/27/2021,162.35,4163853,163.65,164.06,161.66,425
10/28/2021,164.46,3762035,163.01,164.60,162.81,426
10/29/2021,167.29,6740577,163.06,167.63,163.00,427
11/1/2021,166.33,3610791,167.80,168.80,165.89,428
11/2/2021,167.83,5038033,166.76,168.16,166.11,429
11/3/2021,172.50,7176711,169.00,172.87,168.65,430
11/4/2021,175.44,5460077,172.21,175.63,172.00,431
11/5/2021,177.51,5892386,175.73,179.10,175.50,432
11/8/2021,171.85,8301063,176.35,176.54,170.36,433
11/9/2021,173.82,4343036,171.25,173.93,170.95,434
11/10/2021,168.26,8185208,171.23,172.17,167.55,435
11/11/2021,166.97,4994898,169.60,169.60,166.63,436
11/12/2021,169.09,5126255,167.50,169.68,167.40,437
11/15/2021,168.85,3856824,169.70,170.36,168.52,438
11/16/2021,171.83,4400951,169.25,174.00,169.25,439
11/17/2021,171.74,3940150,171.60,172.74,170.25,440
11/18/2021,171.35,4044957,172.33,173.46,170.36,441
11/19/2021,174.88,6146405,172.15,177.20,170.53,442
11/22/2021,174.24,5907245,174.98,177.75,174.23,443
11/23/2021,172.15,5302381,173.05,173.43,170.41,444
11/24/2021,172.03,4637831,168.49,172.43,167.67,445
11/26/2021,168.02,4751087,168.06,169.68,167.54,446
11/29/2021,169.87,5448873,169.83,171.15,169.23,447
11/30/2021,169.24,11033990,168.79,171.55,167.53,448
12/1/2021,166.70,6618636,170.89,173.37,166.68,449
12/2/2021,170.00,4398871,167.28,170.55,167.00,450
12/3/2021,170.24,4878460,170.62,172.07,166.76,451
12/6/2021,168.91,5636915,170.83,171.21,168.06,452
12/7/2021,171.29,5898723,171.11,173.35,170.40,453
12/8/2021,170.25,5614587,171.22,171.79,169.84,454
12/9/2021,168.10,5171776,169.29,171.17,167.99,455
12/10/2021,169.06,4791125,168.50,170.24,167.33,456
12/13/2021,166.84,5972321,168.81,169.39,165.26,457
12/14/2021,165.40,4872209,166.29,167.08,164.21,458
12/15/2021,163.90,7144617,165.00,165.67,161.82,459
12/16/2021,162.72,7138109,162.70,165.94,162.53,460
12/17/2021,161.36,7720005,161.63,162.86,160.55,461
12/20/2021,156.98,8411896,159.34,159.60,155.47,462
12/21/2021,166.63,13862890,166.69,171.19,164.71,463
12/22/2021,165.44,5811307,167.24,169.00,164.09,464
12/23/2021,165.67,3876949,166.25,167.16,165.44,465
12/27/2021,167.58,3771988,166.52,167.69,165.48,466
12/28/2021,166.42,2658714,167.80,168.25,166.30,467
12/29/2021,168.78,3830888,167.07,169.80,166.60,468
12/30/2021,167.49,2666993,168.31,170.12,167.20,469
12/31/2021,166.67,2751992,167.56,167.72,166.21,470
1/3/2022,164.67,5671928,167.53,167.91,163.31,471
1/4/2022,166.39,6064160,165.88,167.18,165.00,472
1/5/2022,162.25,5020982,166.49,167.01,162.10,473
1/6/2022,161.04,4144691,162.09,163.19,159.06,474
1/7/2022,156.97,5107978,160.77,161.14,156.86,475
1/10/2022,150.44,10439020,150.52,151.33,148.78,476
1/11/2022,150.30,8175396,150.48,150.84,147.60,477
1/12/2022,152.21,6351196,152.13,153.46,150.74,478
1/13/2022,149.59,4990890,153.20,153.60,149.02,479
1/14/2022,148.18,6030546,148.39,148.84,146.85,480
1/18/2022,146.95,6931656,148.06,148.83,146.30,481
